"Jamaica Beach city, Texas",1075
"Southmayd city, Texas",1075
"Maud city, Texas",1066
"Daisetta city, Texas",1065
"Los Indios town, Texas",1062
"Tiki Island village, Texas",1062
"Gorman city, Texas",1044
"Santa Anna town, Texas",1044
"Groveton city, Texas",1034
"Maypearl city, Texas",1033
"Robert Lee city, Texas",1026
"Riesel city, Texas",1024
"Berryville town, Texas",1021
"Red Lick city, Texas",1016
"St. Jo city, Texas",1015
"Wink city, Texas",1006
"Arp city, Texas",1004
"Wortham town, Texas",1004
"Earth city, Texas",996
"Lakeside City town, Texas",995
"New London city, Texas",994
"Sterling City city, Texas",993
"Eustace city, Texas",992
"Omaha city, Texas",986
"Lakeport city, Texas",984
"Cross Plains town, Texas",983
"Tioga town, Texas",982
"Bronte town, Texas",980
"White Deer town, Texas",980
"Rice city, Texas",973
"Montgomery city, Texas",970
"Mustang Ridge city, Texas",969
"Rio Vista city, Texas",969
"Point Venture village, Texas",958
"Coolidge town, Texas",957
"Bremond city, Texas",952
"East Tawakoni city, Texas",937
"Thrall city, Texas",937
"Coldspring city, Texas",923
"Vega city, Texas",923
"Clarksville City city, Texas",915
"Moulton town, Texas",915
"Sudan city, Texas",912
"Tolar city, Texas",911
"Coahoma town, Texas",905
"Centerville city, Texas",899
"Bandera city, Texas",898
"Hardin city, Texas",897
"Point city, Texas",879
"Garrison city, Texas",878
"Lake Tanglewood village, Texas",878
"Cresson city, Texas",875
"Celeste city, Texas",872
"Lakewood Village city, Texas",872
"Trinidad city, Texas",872
"Crowell city, Texas",866
"Simonton city, Texas",862
"Blue Ridge city, Texas",861
"Miles city, Texas",856
"Aspermont town, Texas",855
"Garrett town, Texas",847
"Rankin city, Texas",844
"Lometa city, Texas",843
"Walnut Springs city, Texas",843
"Blooming Grove town, Texas",831
"Rising Star town, Texas",830
"Savoy city, Texas",830
"Indian Lake town, Texas",828
"Beckville city, Texas",826
"East Mountain city, Texas",824
"O'Donnell city, Texas",824
"San Felipe town, Texas",821
"New Deal town, Texas",817
"Hilshire Village city, Texas",815
"Wells town, Texas",813
"Joaquin city, Texas",812
"Pineland city, Texas",811
"Agua Dulce city, Texas",808
"Dawson town, Texas",793
"Valley View city, Texas",792
"Cumby city, Texas",790
"Payne Springs town, Texas",780
"Sunrise Beach Village city, Texas",779
"Bailey's Prairie village, Texas",776
"McLean town, Texas",771
"Throckmorton town, Texas",767
"Mountain City city, Texas",753
"Crawford town, Texas",747
"Driscoll city, Texas",747
"Log Cabin city, Texas",747
"Milford town, Texas",747
"Scurry town, Texas",747
"Lott city, Texas",745
"Santa Clara city, Texas",741
"Mertzon city, Texas",739
"Burke city, Texas",734
"Tuscola city, Texas",732
"Point Blank city, Texas",730
"Camp Wood city, Texas",726
"Hillcrest village, Texas",724
"Big Wells city, Texas",720
"Noonday city, Texas",719
"Zavalla city, Texas",719
"Como town, Texas",717
"Ector city, Texas",708
"Point Comfort city, Texas",704
"Normangee town, Texas",698
"Westover Hills town, Texas",694
"Detroit town, Texas",693
"Kress city, Texas",693
"Bardwell city, Texas",689
"Sunset Valley city, Texas",687
"Chillicothe city, Texas",686
"Pecan Hill city, Texas",685
"Amherst city, Texas",682
"Silverton city, Texas",680
"Plum Grove city, Texas",670
"Happy town, Texas",667
"Beasley city, Texas",663
"Petrolia city, Texas",663
